9.457734823226928711e-01,5.273411795496940613e-02,4.272114310879260302e-04,6.328714080154895782e-04,4.323701141402125359e-04,7.623882889747619629e-01,1.954491734504699707e-01,3.817628696560859680e-02,3.703147405758500099e-03,2.831327437888830900e-04,3.717826604843139648e-01,5.773726105690002441e-01,4.440138116478919983e-02,5.482912529259920120e-04,5.895026959478855133e-03
2.643090468712472330e-10,2.074653782102586774e-09,4.909605166858455050e-08,9.997096657752990723e-01,2.902859414462000132e-04,1.277647925235214643e-07,1.006195270747411996e-05,3.228539981137146242e-06,9.999845027923583984e-01,2.152893557649804279e-06,2.112642869178671390e-05,3.081625982304103673e-05,8.142264414345845580e-05,9.990146160125732422e-01,8.520331466570496559e-04
1.348144859075546265e-01,8.651449680328369141e-01,1.771898496372159570e-05,5.325335678207920864e-06,1.756357960402965546e-05,5.220108665525913239e-03,9.947414398193359375e-01,3.037851638509891927e-05,7.385317076114006341e-06,7.493163707295025233e-07,2.068241685628890991e-02,9.793081879615783691e-01,4.066143446834757924e-06,4.061351148720859783e-07,5.055795099906390533e-06
3.533702752633871569e-08,2.085356245515868068e-04,6.348545430228114128e-04,8.955304338087444194e-07,9.991556406021118164e-01,1.294445701205404475e-05,1.777012087404727936e-02,5.574514507316052914e-04,1.760977756930515170e-04,9.814833998680114746e-01,5.725338269257918000e-06,6.223060772754251957e-04,6.032575038261711597e-05,2.172207678086124361e-05,9.992898702621459961e-01
2.841728928615339100e-05,2.632346331665758044e-05,1.392274862155318260e-03,9.985321760177612305e-01,2.079927980958018452e-05,3.578244589519385954e-09,1.486448919507665778e-08,6.193372882989933714e-06,9.999936819076538086e-01,6.935400875818231725e-08,8.916241313272621483e-06,3.388008053661906160e-06,1.709193202259484679e-05,9.999598264694213867e-01,1.079540379578247666e-05
8.917215163819491863e-04,4.933767195325344801e-05,9.803909961192402989e-06,5.114561645314097404e-05,9.989979863166809082e-01,1.012048960546962917e-04,1.556530696689151227e-05,6.721012596244690940e-06,9.218497325491625816e-06,9.998673200607299805e-01,5.820034130010753870e-05,5.812623930978588760e-05,3.859875141642987728e-05,5.106267781229689717e-05,9.997940659523010254e-01
4.964578401156494181e-11,1.169210173124213270e-09,1.912201419429493399e-08,9.999933242797851562e-01,6.700558969896519557e-06,1.246842543878301512e-06,1.658548535488080233e-05,8.955440762292710133e-07,9.999811649322509766e-01,5.277726700114726555e-09,3.957218268624274060e-06,5.312428038450889289e-05,2.004233683692291379e-04,9.997014403343200684e-01,4.104707477381452918e-05
7.695330240002282163e-14,2.099488291551487862e-11,1.234396251881264561e-09,1.000000000000000000e+00,5.018324245043004339e-08,1.405149596678256785e-08,7.689641279284842312e-07,1.854543825174914673e-07,9.999989271163940430e-01,4.729781011292288895e-09,4.304230969864875078e-06,6.424846651498228312e-05,2.196589230152312666e-05,9.998828172683715820e-01,2.668789784365799278e-05
2.133580534469103895e-10,7.367886922793331905e-08,3.904562254319898784e-05,9.999598264694213867e-01,9.573018360242713243e-07,1.110194745024273288e-07,3.796972669078968465e-05,3.301375909359194338e-05,9.999285936355590820e-01,3.121758993529510917e-07,2.146718998119467869e-06,5.815837066620588303e-04,2.103963342960923910e-04,9.989324212074279785e-01,2.734453883022069931e-04
1.475393946748226881e-04,6.188568659126758575e-04,9.987987279891967773e-01,3.706001734826713800e-05,3.978438326157629490e-04,5.807199272567231674e-07,1.315987105954263825e-07,9.999819993972778320e-01,1.017769955069525167e-05,7.146694315451895818e-06,1.972383688553236425e-05,4.541765883914195001e-05,9.977503418922424316e-01,1.013012253679335117e-03,1.171407289803028107e-03
